measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,3,Rate,1991,18.01364502791521,18.71258833684114,17.25839918652287
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,8.150155062570885,8.523486934753436,7.755355796810486
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1993,0.01627820591827109,0.016560410785210717,0.015831329042260207
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1993,0.003993255352886411,0.004185491055247189,0.0036114059312525866
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1993,12.308041719626226,12.536212690726785,11.970337600391725
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1993,2.460407270406855,2.57873304357807,2.226149330048778
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,2,Percent,1993,0.072861918028182,0.0742451050569341,0.07039732255660609
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,2,Percent,1993,0.05025933925830643,0.0522589439349762,0.045903014415089184
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,3,Rate,1993,55.09125693386108,56.1715042726197,53.163018517677685
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,3,Rate,1993,30.9668155299336,32.222953618054014,28.34084263285395
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1991,0.015848961793190106,0.01615701093971797,0.015414322692632798
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1991,0.004049170224079193,0.004222538475549592,0.0036946318104175715
1,Deaths,67,Japan,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1991,11.478656012097405,11.7035100582205,11.14989613642347
1,Deaths,67,Japan,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1991,2.3943125735668582,2.4984185030812003,2.187069333510923
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,2,Percent,1991,0.07495059862413879,0.07632305063973205,0.07244834268826533
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,2,Percent,1991,0.052506242932165034,0.054387858016889064,0.04854947559583937
1,Deaths,67,Japan,1,Male,22,All ages,414,Stomach cancer,3,Rate,1991,54.2831299408561,55.24424933102529,52.51304786714516
1,Deaths,67,Japan,2,Female,22,All ages,414,Stomach cancer,3,Rate,1991,31.04748699202183,32.17026655477643,28.722392770620758
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1993,0.008893686232958895,0.009672187219628366,0.0069742138768579725
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1993,0.005037964342546196,0.005550133670930234,0.0035937821780430692
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1993,8.182994304363708,9.012098783549293,6.370670565497119
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1993,4.038098258078253,4.49274911382797,2.854538503466724
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,2,Percent,1993,0.019104389460320115,0.02012149117690952,0.018204205634853213
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,2,Percent,1993,0.014049513899300939,0.014922615535265549,0.013277136034339578
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,3,Rate,1993,17.57550819362189,18.769974448252643,16.505315313195247
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,3,Rate,1993,11.259885727691445,12.036012055957555,10.544972374398816
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,2,Percent,1990,0.011648452758936771,0.012155390908471456,0.011153020430651656
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,2,Percent,1990,0.0023504095279894845,0.0025301422196629193,0.0021776862421287926
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,411,Esophageal cancer,3,Rate,1990,7.02541337930146,7.343586830308255,6.727272288805233
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,411,Esophageal cancer,3,Rate,1990,0.952465613004217,1.0243834033931796,0.8847956969203369
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,2,Percent,1990,0.029862962695552837,0.03093495565524762,0.02870623674230455
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,2,Percent,1990,0.019737258041443818,0.0205635069984604,0.01883103596614266
1,Deaths,8,Taiwan (Province of China),1,Male,22,All ages,414,Stomach cancer,3,Rate,1990,18.010950936755588,18.659131218856427,17.294924922722508
1,Deaths,8,Taiwan (Province of China),2,Female,22,All ages,414,Stomach cancer,3,Rate,1990,7.998308254073947,8.36985310911751,7.5885513937115885
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,2,Percent,1990,0.013827724430136638,0.015866586440897775,0.011737213571391876
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,2,Percent,1990,0.009012936914562068,0.010490796294157992,0.00777110675491474
1,Deaths,349,Greenland,1,Male,22,All ages,411,Esophageal cancer,3,Rate,1990,11.62702993945271,13.735459592494422,9.605515481831821
1,Deaths,349,Greenland,2,Female,22,All ages,411,Esophageal cancer,3,Rate,1990,6.602412791886304,8.003631971566747,5.406055313046076
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,2,Percent,1990,0.017186595189614146,0.01936508786794727,0.015035005248199835
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,2,Percent,1990,0.010809267515168402,0.012054881689320177,0.009651289004441725
1,Deaths,349,Greenland,1,Male,22,All ages,414,Stomach cancer,3,Rate,1990,14.455334176633652,17.07809544296107,12.098175164566019
1,Deaths,349,Greenland,2,Female,22,All ages,414,Stomach cancer,3,Rate,1990,7.920744545528346,9.386879717534441,6.5546565281717095
